,nct_id,start_date,phase,year,BreastCancer,ProstateCancer,Stroke,HeartFailure,Pain,Obesity,Cancer,Depression,Hypertension,Anxiety,UnitedStates,Canada,China,France,Germany,UnitedKingdom,Korea,Italy,Spain,Turkey
6577,NCT04512261,2022/6/1,PHASE1/PHASE2,2022,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6578,NCT04512378,2021/2/1,NA,2021,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6579,NCT04512547,2021/4/1,PHASE2,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6580,NCT04512690,2021/3/24,NA,2021,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6581,NCT04512768,2020/9/9,NA,2020,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
6582,NCT04513678,2019/12/18,NA,2019,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6583,NCT04513769,2020/9/8,NA,2020,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6584,NCT04514159,2020/11/12,PHASE1,2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6585,NCT04514419,2020/6/30,PHASE3,2020,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6586,NCT04514900,2020/9/23,NA,2020,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6587,NCT04515095,2020/8/16,NA,2020,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6588,NCT04515407,2021/10/1,NA,2021,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6589,NCT04515758,2019/4/1,NA,2019,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6590,NCT04516993,2021/9/28,PHASE2,2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6591,NCT04517006,2021/1/31,NA,2021,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
6592,NCT04517266,2021/3/1,NA,2021,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
